job_id,site,hostname,ip_address,host_class,date_first,date_last,kit_version,image_ref,mode,run_name,hb_status,train_n,class_0,class_1,class_2,learn_tasks,epochs_seen,configured,failure_class,advisory_only,signatures
fd6fdc94-a8af-46c1-a9ed-57eceeb0d135,UKA_1,titan,137.226.23.21,real,2026-06-11,2026-06-23,1.4.5-dev.260610.2cf6e82,,swarm,1DivideAndConquer_unilateral_2026_06_21_220007,running,17834,4747,11836,1251,140,2689519,0,stale_lock,0,posix_spawn|stale_lock
fd8ce441-1120-4dd8-b9d3-e238d2ccb48c,UKA_1,titan,137.226.23.200,real,2026-07-23,2026-09-04,1.6.0,jefftud/odelia:current,swarm,1DivideAndConquer_unilateral_fold0_2026_09_04_110957,running,17834,4747,11836,1251,38,1034861,0,,1,posix_spawn
04321cbe-0712-4c06-bb44-8169e48b788e,UMCU_1,?,,test,2026-04-07,2026-04-07,,,,,,,,,,0,0,0,,1,posix_spawn
23613f88-e0b0-4a6c-89c1-90a60e36b538,UMCU_1,?,,test,2026-04-07,2026-04-07,,,,,,122,92,8,22,1,5002,0,,1,posix_spawn
572ea0f7-69d0-4f6a-9673-d36f121b9652,UMCU_1,dl3.tud.de,,test,2026-04-08,2026-04-08,1.4.1-dev.260408.40182cc,,swarm,MST_unilateral_2026_04_08_051029,running,122,92,8,22,1,1286,0,,1,posix_spawn
59aa5b1c-4419-4fe6-abb0-f8b4f2d37562,UMCU_1,?,,test,2026-04-07,2026-04-07,,,,,,122,92,8,22,1,4766,0,,1,posix_spawn
5c3805e5-2390-48d9-9193-474a4edd1227,UMCU_1,bldaiod01,143.121.237.178,real,2026-07-02,2026-07-03,1.5.0-dev.260702.be9ef04,,swarm,,running,,,,,1,40,0,,1,posix_spawn
adcd0b80-5ac1-41e4-ad55-54bc97f76e25,UMCU_1,bldaiod01,143.121.237.178,real,2026-07-02,2026-07-03,1.5.0-dev.260702.be9ef04,,swarm,,running,,,,,6,240,0,,1,posix_spawn
c5066fbf-aee4-43c9-99ad-c4f4bc4350ed,UMCU_1,bldaiod01,143.121.237.178,real,2026-08-05,2026-09-03,1.6.0,jefftud/odelia:current,swarm,1DivideAndConquer_unilateral_fold0_2026_08_13_081808,running,6133,5337,740,56,32,331576,0,,1,posix_spawn
cde7528a-da13-4a0e-8fe7-49af2a2c1132,UMCU_1,?,,test,2026-04-07,2026-04-07,,,,,,122,92,8,22,0,0,0,,1,posix_spawn
cfa36533-a55c-47c1-9322-7fb723f8bf91,UMCU_1,dl3.tud.de,,test,2026-04-08,2026-04-08,1.4.1-dev.260408.40182cc,,swarm,1DivideAndConquer_unilateral_2026_04_08_061813,running,122,92,8,22,4,8788,0,,1,posix_spawn
eb9b942d-0796-423e-920e-3261534c0663,UMCU_1,bldaiod01,143.121.237.178,real,2026-07-02,2026-07-06,1.5.0-dev.260702.be9ef04,,swarm,1DivideAndConquer_unilateral_2026_07_06_093731,running,6133,5337,740,56,13,37221,0,,1,posix_spawn
f7824f34-187f-4eb7-9460-5b71dcf72851,UMCU_1,bldaiod01,143.121.237.178,real,2026-07-02,2026-08-05,1.5.0-dev.260702.be9ef04,,swarm,1DivideAndConquer_unilateral_2026_07_06_105432,running,6133,5337,740,56,14,49495,0,cert_mismatch,0,posix_spawn|cert_mismatch
f982d373-69a2-4027-b8d4-61164700ef28,UMCU_1,?,,test,2026-04-07,2026-04-07,,,,,,122,92,8,22,2,6284,0,,1,posix_spawn
fd2f3406-1440-4a27-83ad-259029c6b6ce,UMCU_1,dl3.tud.de,,test,2026-04-08,2026-04-08,1.4.1-dev.260408.40182cc,,swarm,1DivideAndConquer_unilateral_2026_04_08_070347,running,122,92,8,22,5,11228,0,cert_mismatch,0,posix_spawn|cert_mismatch
fd8ce441-1120-4dd8-b9d3-e238d2ccb48c,UMCU_1,bldaiod01,143.121.237.178,real,2026-08-05,2026-09-08,1.6.0,jefftud/odelia:current,swarm,1DivideAndConquer_unilateral_fold0_2026_09_07_125112,running,6133,5337,740,56,45,417607,0,,1,posix_spawn
003ccdeb-1f5d-40a6-b6a9-50caf358bcb4,USZ_1,BF2920004,192.168.0.195,real,2026-07-01,2026-07-01,1.4.7-dev.260701.530b0e6,,swarm,5Pimed_unilateral_2026_07_01_072213,running,3448,1911,1244,293,3,20710,0,,1,posix_spawn
01122bb5-f923-47ce-a2e3-5b4380a81cf0,USZ_1,BF2920004,192.168.0.195,real,2026-06-30,2026-06-30,1.4.7-dev.260630.e62e475,,swarm,,running,,,,,0,0,0,liveness_timeout,0,liveness_timeout|posix_spawn
1e83ac1e-2702-4255-a3d6-1f0718bf0626,USZ_1,BF2920004,192.168.0.195,real,2026-06-05,2026-06-09,1.4.4-dev.260601.a4b6748,,swarm,1DivideAndConquer_unilateral_2026_06_05_100642,running,3448,1911,1244,293,6,201,0,,1,posix_spawn
5c3805e5-2390-48d9-9193-474a4edd1227,USZ_1,BF2920004,192.168.0.195,real,2026-07-02,2026-07-03,1.5.0-dev.260702.be9ef04,,swarm,,running,,,,,1,40,0,,1,posix_spawn
82046a3f-7888-4529-8fe6-249a9154317b,USZ_1,BF2920004,192.168.0.195,real,2026-06-10,2026-06-10,1.4.5-dev.260610.9219d55,,swarm,1DivideAndConquer_unilateral_2026_06_10_085427,running,3448,1911,1244,293,1,0,0,data_missing,0,posix_spawn|data_missing
_active,USZ_1,?,,unknown,,,,,,,,,,,,0,0,0,,0,
a940283a-b9a9-4e0e-a617-05d4c2037160,USZ_1,BF2920004,192.168.0.195,real,2026-06-11,2026-06-12,1.4.5-dev.260610.2cf6e82,,swarm,1DivideAndConquer_unilateral_2026_06_11_143314,running,3448,1911,1244,293,1,6904,0,data_missing,0,posix_spawn|data_missing
adcd0b80-5ac1-41e4-ad55-54bc97f76e25,USZ_1,BF2920004,192.168.0.195,real,2026-07-02,2026-07-03,1.5.0-dev.260702.be9ef04,,swarm,,running,,,,,6,240,0,,1,posix_spawn
b999ee3f-4ead-4bd0-b585-8ee6dd9e21ba,USZ_1,BF2920004,192.168.0.195,real,2026-07-01,2026-07-01,1.4.7-dev.260701.530b0e6,,swarm,5Pimed_unilateral_2026_07_01_080230,running,3448,1911,1244,293,4,27614,0,,1,posix_spawn
bfc781ad-3b09-4bfc-9424-ffa5145bd02e,USZ_1,BF2920004,192.168.0.195,real,2026-06-30,2026-06-30,1.4.7-dev.260630.ea3069c,,swarm,,running,,,,,0,0,0,liveness_timeout,0,liveness_timeout|posix_spawn
c2b515c4-b411-4e0b-947c-b6a3ec333ef6,USZ_1,BF2920004,192.168.0.195,real,2026-06-10,2026-06-10,1.4.5-dev.260610.f223d15,,swarm,,running,,,,,0,0,0,,1,posix_spawn
cb04b5c7-618d-4486-9776-e25e53a981e2,USZ_1,BF2920004,192.168.0.195,real,2026-06-05,2026-06-05,1.4.4-dev.260601.a4b6748,,swarm,1DivideAndConquer_unilateral_2026_06_05_100642,running,3448,1911,1244,293,6,201,0,,1,posix_spawn
d8f7e0b3-a884-4bf7-91e4-8bb2eafe6f17,USZ_1,BF2920004,192.168.0.195,real,2026-06-10,2026-06-10,1.4.5-dev.260610.7c7ce91,,swarm,1DivideAndConquer_unilateral_2026_06_10_092802,running,3448,1911,1244,293,2,13807,0,,1,posix_spawn
e20bdf3b-648b-4299-a02b-7423fe367ed9,USZ_1,BF2920004,192.168.0.195,real,2026-06-30,2026-06-30,1.4.7-dev.260630.e62e475,,swarm,5Pimed_unilateral_2026_06_30_130107,running,3448,1911,1244,293,5,34518,0,liveness_timeout,0,liveness_timeout|posix_spawn
eb9b942d-0796-423e-920e-3261534c0663,USZ_1,BF2920004,192.168.0.195,real,2026-07-02,2026-07-06,1.5.0-dev.260702.be9ef04,,swarm,1DivideAndConquer_unilateral_2026_07_06_093729,running,3448,1911,1244,293,11,14047,0,,1,posix_spawn
f3c52419-97c8-460c-8075-8bd05b786fb9,USZ_1,BF2920004,192.168.0.195,real,2026-06-11,2026-06-16,1.4.5-dev.260610.2cf6e82,,swarm,1DivideAndConquer_unilateral_2026_06_16_144759,running,3448,1911,1244,293,49,124983,0,data_missing,0,posix_spawn|data_missing
f7824f34-187f-4eb7-9460-5b71dcf72851,USZ_1,BF2920004,192.168.0.195,real,2026-07-02,2026-07-22,1.5.0-dev.260702.be9ef04,,swarm,1DivideAndConquer_unilateral_2026_07_06_105428,running,3448,1911,1244,293,12,14047,0,cert_mismatch,0,posix_spawn|cert_mismatch
fd413dd9-24fb-4e17-b7c3-e500f9266127,USZ_1,BF2920004,172.24.4.75,real,2026-06-09,2026-06-09,1.4.5-dev.260609.6ccdad7,,swarm,1DivideAndConquer_unilateral_2026_06_09_133425,completed,3448,1911,1244,293,2,13807,0,,1,posix_spawn
fd6fdc94-a8af-46c1-a9ed-57eceeb0d135,USZ_1,BF2920004,192.168.0.195,real,2026-06-11,2026-06-30,1.4.5-dev.260610.2cf6e82,,swarm,1DivideAndConquer_unilateral_2026_06_21_215945,finished,3448,1911,1244,293,154,568382,0,stale_lock,0,posix_spawn|stale_lock|cert_mismatch
test_from_usz,USZ_1,?,,unknown,,,,,,,,,,,,0,0,0,,0,
ca69f347-0d0b-4f14-9b67-353744253498,VHIO_1,odelia,172.27.40.114,real,2026-07-23,2026-09-03,1.6.0,jefftud/odelia:current,swarm,1DivideAndConquer_unilateral_fold0_2026_08_13_081801,running,190,159,0,31,35,116037,0,,1,posix_spawn
fd8ce441-1120-4dd8-b9d3-e238d2ccb48c,VHIO_1,odelia,172.27.40.114,real,2026-07-23,2026-09-08,1.6.0,jefftud/odelia:current,swarm,1DivideAndConquer_unilateral_fold0_2026_09_07_125107,running,190,159,0,31,42,117321,0,,1,posix_spawn
